2022-05-16 03:52:26.410 INFO  (coreLoadExecutor-17-thread-1-processing-localhost:8986_solr) [c:collection1 s:shard3 r:core_node11 x:collection1_shard3_replica_n8] o.a.s.s.IndexSchema Loaded schema default-config/1.6 with uniqueid field id
2022-05-16 03:52:26.411 INFO  (coreLoadExecutor-17-thread-1-processing-localhost:8986_solr) [c:collection1 s:shard3 r:core_node11 x:collection1_shard3_replica_n8] o.a.s.c.CoreContainer Creating SolrCore 'collection1_shard3_replica_n8' using configuration from configset collection1, trusted=true
2022-05-16 03:52:26.467 INFO  (coreLoadExecutor-17-thread-1-processing-localhost:8986_solr) [c:collection1 s:shard3 r:core_node11 x:collection1_shard3_replica_n8] o.a.s.c.SolrCore Opening new SolrCore at [/home/haseeb/Desktop/DC_Project/solr/example/cloud/node4/solr/collection1_shard3_replica_n8], dataDir=[/home/haseeb/Desktop/DC_Project/solr/example/cloud/node4/solr/collection1_shard3_replica_n8/data/]
2022-05-16 03:52:27.484 INFO  (coreLoadExecutor-17-thread-1-processing-localhost:8986_solr) [c:collection1 s:shard3 r:core_node11 x:collection1_shard3_replica_n8] o.a.s.u.UpdateHandler Using UpdateLog implementation: org.apache.solr.update.UpdateLog
2022-05-16 03:52:27.485 INFO  (coreLoadExecutor-17-thread-1-processing-localhost:8986_solr) [c:collection1 s:shard3 r:core_node11 x:collection1_shard3_replica_n8] o.a.s.u.UpdateLog Initializing UpdateLog: dataDir= defaultSyncLevel=FLUSH numRecordsToKeep=100 maxNumLogsToKeep=10 numVersionBuckets=65536
2022-05-16 03:52:27.499 INFO  (coreLoadExecutor-17-thread-1-processing-localhost:8986_solr) [c:collection1 s:shard3 r:core_node11 x:collection1_shard3_replica_n8] o.a.s.u.CommitTracker Hard AutoCommit: if uncommitted for 15000ms; 
2022-05-16 03:52:27.503 INFO  (coreLoadExecutor-17-thread-1-processing-localhost:8986_solr) [c:collection1 s:shard3 r:core_node11 x:collection1_shard3_replica_n8] o.a.s.u.CommitTracker Soft AutoCommit: if uncommitted for 3000ms; 
2022-05-16 03:52:27.689 INFO  (coreLoadExecutor-17-thread-1-processing-localhost:8986_solr) [c:collection1 s:shard3 r:core_node11 x:collection1_shard3_replica_n8] o.a.s.r.ManagedResourceStorage Configured ZooKeeperStorageIO with znodeBase: /configs/collection1
2022-05-16 03:52:27.698 INFO  (coreLoadExecutor-17-thread-1-processing-localhost:8986_solr) [c:collection1 s:shard3 r:core_node11 x:collection1_shard3_replica_n8] o.a.s.r.ManagedResourceStorage Loaded null at path _rest_managed.json using ZooKeeperStorageIO:path=/configs/collection1
2022-05-16 03:52:27.705 INFO  (coreLoadExecutor-17-thread-1-processing-localhost:8986_solr) [c:collection1 s:shard3 r:core_node11 x:collection1_shard3_replica_n8] o.a.s.s.ZkIndexSchemaReader Creating ZooKeeper watch for the managed schema at /configs/collection1/managed-schema.xml
